size,addfirst(ms),addlast(ms),addrandpos(ms),removefist(ms),removelast(ms),removerandpos(ms),getrandpos(ms)
402685,0,0,0.415,0,1.15,0.335,0.365
387722,0,0,1.185,0,2.8,1.015,1.185
976167,0,0,1.825,0,3.35,1.88,1.735
740349,0,0,2.82,0,4,2.025,2.54
231008,0,0,0.185,0,0.95,0.255,0.22
665040,0,0,1.42,0,3.05,1.08,1.265
809167,0,0,2.655,0,5.35,2.075,2.425
601967,0,0,1.365,0,3,1.15,1.31
969588,0,0,2.69,0,4.35,2.53,3.245
187820,0,0,0.005,0,0.25,0,0.005
973308,0,0,3.05,0,5.4,2.39,2.985
702086,0,0,1.48,0,3.25,1.115,1.335
287398,0,0,0.175,0,1,0.115,0.275
197302,0,0,0.01,0,0.7,0.005,0.005
299306,0,0,0.2,0,1.05,0.2,0.275
298663,0,0,0.52,0,1.2,0.5,0.575
483797,0,0,1,0,2.15,0.805,0.96
333528,0,0,0.5,0,1.2,0.455,0.5
341028,0,0,0.4,0,1.2,0.32,0.33
362984,0,0,0.395,0,1.2,0.325,0.425
292114,0,0,0.325,0,1.05,0.325,0.275
445725,0,0,0.525,0,2.25,0.595,0.63
607623,0,0,1.29,0,3.8,1.06,1.27
4159,0,0,0,0,0,0,0
869466,0,0,1.59,0,4.2,1.56,1.64
817734,0,0,2.235,0,4.1,1.87,2.185
554385,0,0,1.425,0,2.45,1.225,1.51
443536,0,0,0.245,0,2,0.2,0.235
825270,0,0,1.345,0,4.2,1.18,1.365
181332,0,0,0.115,0,0.2,0.165,0.12
953812,0,0,2.795,0,4.85,2.25,2.735
92957,0,0,0,0,0,0,0
961018,0,0,2.01,0,4.65,1.71,1.935
183736,0,0,0.01,0,0.55,0,0.025
349700,0,0,0.3,0,1.2,0.205,0.31
69510,0,0,0,0,0,0,0
988483,0,0,2.605,0,6.85,2.205,2.36
681975,0,0,1.57,0,3.3,1.275,1.46
363088,0,0,0.83,0,1.15,0.475,0.745
40593,0,0,0,0,0,0,0
92121,0,0,0.005,0,0,0,0
926358,0,0,1.555,0,4.6,1.35,1.545
782208,0,0,2.18,0,4,1.72,1.98
594518,0,0,0.945,0,3,0.705,0.965
803304,0,0,2.395,0,4,1.975,2.545
74253,0,0,0,0,0,0,0
683174,0,0,2.52,0,3.65,2,2.345
511006,0,0,1.01,0,2.05,0.955,1.27
529450,0,0,1.8,0,3.6,1.415,1.745
453843,0,0,1.385,0,2,1.115,1.45
21122,0,0,0,0,0,0,0
914775,0,0,4.015,0,5.15,2.96,3.63
146373,0,0,0.005,0,0.05,0,0
534396,0,0,0.975,0,2.15,0.775,0.91
568017,0,0,1.49,0,2.65,1.16,1.37
499166,0,0,1.21,0,2.05,1.08,1.24
579923,0,0,1.58,0,3,1.29,1.66
554160,0,0,1.415,0,3.8,1.34,1.415
666072,0,0,1.84,0,4.05,1.41,1.84
138601,0,0,0,0,0.25,0,0
938665,0,0,2.9,0,4.9,2.28,2.795
587804,0,0,2.01,0,3.1,1.425,1.995
994514,0,0,4.15,0,5.05,3.16,4.13
25138,0,0,0,0,0,0,0
394098,0,0,1.02,0,2.05,0.725,1.025
111079,0,0,0,0,0,0,0
469877,0,0,1.56,0,2.15,1.29,1.505
441740,0,0,0.86,0,2,0.73,0.82
651736,0,0,3.125,0,3.05,1.93,2.5
259841,0,0,0.215,0,1,0.115,0.165
151837,0,0,0.005,0,0.65,0,0
344450,0,0,0.3,0,1.6,0.19,0.335
866266,0,0,3.09,0,4.5,2.305,2.955
38224,0,0,0.005,0,0,0,0
276981,0,0,0.57,0,1.35,0.345,0.535
158111,0,0,0.195,0,0.55,0.07,0.13
759336,0,0,1.55,0,4.75,1.345,1.575
274510,0,0,0.325,0,1.15,0.305,0.32
643174,0,0,1.625,0,3,0.99,1.49
378204,0,0,0.2,0,1.65,0.18,0.21
42426,0,0,0,0,0,0,0
890590,0,0,2.58,0,6.6,2.125,2.575
772535,0,0,1.215,0,4.85,0.905,1.28
67922,0,0,0,0,0,0,0.005
300346,0,0,0.515,0,1.3,0.375,0.335
772125,0,0,2.53,0,4.15,1.975,2.47
169517,0,0,0.12,0,0.25,0.02,0.035
421619,0,0,1.02,0,2.25,0.79,0.995
550511,0,0,1.695,0,3.05,1.54,1.93
349176,0,0,0.83,0,2,0.6,0.75
264443,0,0,0.3,0,1,0.15,0.38
479053,0,0,2.055,0,2.9,1.52,1.985
624989,0,0,0.58,0,3,0.49,0.53
821720,0,0,4.34,0,4.25,3.535,4.155
530883,0,0,1.43,0,3.05,1.08,1.43
526927,0,0,1.38,0,3,0.945,1.44
51376,0,0,0,0,0,0,0
280329,0,0,0.345,0,1.3,0.335,0.25
418017,0,0,1.46,0,2.05,0.99,1.58
17698,0,0,0,0,0,0,0

82259,0,0,0,0,0,0.005,0.015
